Name,Ticker,Min Investment,Price Per Token,Stage,Token Type,Investor Type,Description
4061 Grand St,RealT,$58,$58.27,Trading,Equity,International Non-US,"4061 Grand St, Detroit, MI 48238"
9133 Devonshire Rd,RealT,$58,$58.27,Trading,Equity,International Non-US,TBA
2318-2324 W Marquette Rd,RealT,$52,$51.67,Trading,Equity,International Non-US,TBA
13000 Promenade St,RealT,$51,$50.51,Trading,Equity,International Non-US,"13000 Promenade is currently undergoing a transformation across its 1,586 square feet, enclosed by a 5,880 square foot lot. In close vicinity to parks, malls, and the Duke Ellington Conservatory of Mu..."
Villa Marina 514,RealT,$51,$50.92,Trading,Equity,International Non-US,TBA
12730 Wade St,RealT,$51,$50.65,Trading,Equity,International Non-US,"The duplex at 12730 Wade St in the Ravendale suburb of Detroit, Michigan, was constructed in 1935. It comprises two units, with a total interior living space of 1,027 square feet situated on a 3,485 s..."
7913 Faith Ln,RealT,$52,$52.10,Trading,Equity,International Non-US,"7913 Faith is a beautifully renovated single-family home located in Montgomery's idyllic Ryan Ridge neighborhood. Built in 2017, this property offers 1,808 square feet of living space on a substantial..."
Philippines Bureau of the Treasury - 15B PHP,PBT15B,-,$,Trading,Fixed Income,International Accredited,The Philippines Bureau of the Treasury (PBT) sold 15 billion Pesos worth of Tokenized Treasury Bonds (TTBs) - an offering that was oversubscribed by three times from an originally planned 10 billion P...
Hong Kong Digital Green Bond - 200M USD Tranche,HKGBGR2602,-,$,Trading,Fixed Income,International Accredited,The Government of the Hong Kong Special Administrative Region of the People’s Republic of China (the HKSAR Government) on 2/7/24 announced the successful offering of around HK$6 billion worth of digit...
14881 Greenfield Rd,RealT,$50,$50.46,Trading,Equity,International Non-US,TBA
Societe Generale - 10M EUR,SOCGEN10M,-,$1,Trading,Fixed Income,International Accredited,"On 30 November 2023, Societe Generale issued its first digital green bond as a Security Token directly registered by SG-FORGE on the Ethereum public blockchain with increased transparency and traceabi..."
11078 Wayburn St Detroit,RealT,$52,$51.83,Trading,Equity,International Non-US,TBA
Lucero Club 1R4,RealT,$51,$50.73,Trading,Equity,International Non-US,"Situated in the esteemed Lucero Golf and Country Club, a gated community in the scenic mountain town of Boquete, this fully-furnished residence boasts 3 spacious bedrooms and 3.5 bathrooms. The home's..."
Marui - 120M JPY,MARUI120M,$0,$1,Closed,Fixed Income,International Non-US,"MARUI Group Co., Ltd., one of the largest retailers in Japan, selected Securitize to launch the first tokenized, publicly-available, self-offered corporate bond in Japan. The offering was made availab..."
1760 Elkins Dr,RealT,$50,$50.40,Trading,Equity,International Non-US,"introducing 1760 Elkins, a well-maintained single-family brick residence featuring 3 bedrooms and 1 bathroom. This property, which is currently occupied by long-term tenants, offers a comfortable livi..."
16012 Maddelein St,RealT,$50,$50.16,Trading,Equity,International Non-US,"Tucked away in the traditional Detroit neighborhood of Burbank, 16012 Maddelein is a single-family property with 3 bedrooms and 1 bathroom, spanning 931 square feet of living space on a grassy 4,617 s..."
22 Lamar Dr,RealT,$50,$50.31,Trading,Equity,International Non-US,"22 Lamar, a single-family residence in the St. Louis suburb of Jennings, offers a comfortable living space of 1,124 square feet on an expansive 7,079 square-foot lot. This home comes with a spacious b..."
OSL - 10K USD,OSL10K,$0,$1,Trading,Fixed Income,International Accredited,OSL Digital Securities Limited (OSL) announced it became the first Type 1 SFC-licensed digital asset broker to distribute security tokens to professional investors in Hong Kong in a private security t...
528 Thurston Ave,RealT,$50,$50.28,Trading,Equity,International Non-US,"Located in the Berkeley neighborhood of St. Louis, residents enjoy a small-town feel with abundant parks, activities, and a selection of restaurants and shops, fostering a close-knit community atmosph..."
15019 Steel Ave,RealT,$50,$50.31,Trading,Equity,International Non-US,"Welcome to 15019 Steel, a beautiful two-story brick duplex in the Bethune Community, a neighborhood with small-town community vibes. Comprising 2 units, each with 2 bedrooms and 1 bathroom, and boasti..."
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,"$5,000,000",$1,Trading,Lp Fund Interest,US Accredited,"The BlackRock USD Institutional Digital Liquidity Fund (BUIDL) will provide qualified investors with the opportunity to earn U.S. dollar yields by subscribing to the Fund through Securitize Markets, L..."
18276 Appoline St,RealT,$54,$54.23,Trading,Equity,International Non-US,"Residential home based in urban Detroit
Address: 18276 Appoline St, Detroit, MI 48235"
9465 Beaconsfield St,RealT,$56,$55.92,Trading,Equity,International Non-US,TBA
10621 Vernon Ave,RealT,$51,$50.81,Trading,Equity,International Non-US,"10621 Vernon is a single-family residence featuring 3 bedrooms and 1 bathroom within its 1,900 square feet of living space on a 3,998 square-foot lot. This home includes a spacious living room, an inv..."
Arca Labs,ARCA,"$1,000",$1,Trading,Lp Fund Interest,Non-Accredited Retail,"Arca Labs creates tomorrow’s investment products grounded in digital, registered structures of today
Arca Labs strives to lead the digitization of financial products through the application of bloc..."
12747-12749 Nashville St,RealT,$51,$51.15,Trading,Equity,International Non-US,TBA
9244 Mendota St,RealT,$50,$50.36,Trading,Equity,International Non-US,TBA
9309 Courville St,RealT,$54,$53.53,Trading,Equity,International Non-US,TBA
18433 Faust Ave Detroit,RealT,$59,$59,Trading,Equity,International Non-US,TBA
12641 Elmdale St,RealT,$51,$51.37,Trading,Equity,International Non-US,TBA
15715 Talford Ave,RealT,$50,$50.42,Trading,Equity,International Non-US,"Welcome to 15715 Talford, a charming Cape Cod-style brick home in the Lee Miles neighborhood, offering 3 bedrooms, 1 bathroom, an eat-in kitchen, and a master bedroom on the second floor. Located near..."
8342 Schaefer Hwy,RealT,$52,$52.00,Trading,Equity,International Non-US,"8342 Schaefer is a quadruplex located less than a mile from five schools in a family-friendly neighborhood. When looking at the post-Covid world, we believe that the ability to isolate yourself in com..."
13116 Kilbourne Ave,RealT,$54,$53.62,Trading,Equity,International Non-US,"The single-family home at 13116 Kilbourne Ave, situated in the Eden Gardens neighborhood of Detroit, Michigan, was built in 1936. This residence features 1,300 square feet of living space and is locat..."
4667 Lillibridge St,RealT,$50,$50.08,Trading,Equity,International Non-US,"This single-family home at 4667 Lillibridge features 3 bedrooms and 1 bathroom within 1,296 square feet of living space, situated on a 4,879-square-foot lot. The exterior boasts brick siding, a sturdy..."
19643 Rogge St,RealT,$51,$50.55,Trading,Equity,International Non-US,TBA
10024-10028 Appoline St,RealT,$174,$173.74,Trading,Equity,International Non-US,10024-10028 Appoline Street is the located in the heart of the revitalization of the greater Detroit area. The Barton-McFarland neighborhood is a blue-collar area where the resurgence of the automobil...
Cosimo X,COSX,"$25,000",$2,Trading,Lp Fund Interest,US Accredited,COSIMO X is a tokenized venture capital fund with the objective to capitalize on the $37.5 trillion opportunity in the decentralized trust economy. Investors in the COSIMO X fund get early exposure to...
16851-16881 Greenfield Rd,RealT,$51,$50.85,Trading,Equity,International Non-US,TBA
WisdomTree Siegel Longevity Digital Fund,LNGVX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree Siegel Longevity Digital Fund seeks long-term capital appreciation utilizing an asset allocation strategy by predominantly investing in exchange traded funds, including a significant po..."
11898 Laing St,RealT,$49,$49.42,Trading,Equity,International Non-US,"Nestled in Detroit's Denby neighborhood, 11898 Laing St is a delightful single-family home, constructed in 1940 and featuring 3 bedrooms and 1 bathroom on a single story. Currently fully rented with n..."
11380 Pinehurst St,RealT,$51,$50.85,Trading,Equity,International Non-US,"This single-family gem, built in 1951, embodies operational synergy by aligning strategically with neighbors like 9244 Mendota, 10024-10028 Appoline, and 15778 Manor. Fully rented and without rent sub..."
4430 Lillibridge St,RealT,"$76,146",$51.45,Trading,Equity,International Non-US,"Look into 4430 Lillibridge, a meticulously-maintained 2-story single-family home set on a spacious 4,835 square-foot lot. Its 4 bedrooms and 2 bathrooms provide a comfortable haven for families seekin..."
4342-4344 Cortland St,RealT,$54,$53.68,Trading,Equity,International Non-US,TBA
1 Holdings W Arizona St,RealT,$50,$50.11,Trading,Equity,International Non-US,"1 Holdings W Arizona in Highland Park consists of two brick duplexes, each with two units of 3 bedrooms and 1 bathroom. The first duplex at 15 & 19 W Arizona offers 2,620 square feet of living space,..."
13523 Glenside Rd,RealT,$51,$50.54,Trading,Equity,International Non-US,"Built in 1920, Glenside is an 8-unit multi-family with the additional bonus of 2 units that can be developed in the basements. As you can see from the pictures, the first basement unit already has win..."
15015 Ward Ave,RealT,$51,$50.63,Trading,Equity,International Non-US,"15015 Ward is a single-family residence located in the Bethune Community neighborhood, just steps away from the Children’s Village International Center daycare and convenient access to child care serv..."
433 Kitchener St,RealT,$52,$51.97,Trading,Equity,International Non-US,TBA
10040 Cadieux Rd,RealT,$50,$50.45,Trading,Equity,International Non-US,"Located in Detroit's Yorkshire Woods neighborhood, 10040 Cadieux Rd is a two-story multi-family property constructed in 1957, offering a total of 8 units with 8x1.5 bedrooms and 8x1 baths. Strategical..."
19555 Barlow St,RealT,$50,$50.11,Trading,Equity,International Non-US,"Welcome to 19555 Barlow, a newly renovated single-family residence with 3 bedrooms and 1 bathroom in 962 square feet of living space. Situated on a generous 4,400 square-foot lot, this property also i..."
18980 Fenton St,RealT,$50,$50.25,Trading,Equity,International Non-US,This property has 3 churches next door and a park that starts at Oak Grove (less than a mile from the property) and goes down to Eliza Howell Park. The property is also positioned with easy access to...
11924 Wayburn St,RealT,$50,$50.10,Trading,Equity,International Non-US,TBA
11949 Del Reo Ct,RealT,$51,$50.63,Trading,Equity,International Non-US,"Larimore Park, adjacent to Del Reo, spans 700 acres, offering diverse outdoor activities like hiking, camping, fishing, and picnicking. The park features notable landmarks, including a scenic overlook..."
15860 Steel Ave,RealT,$50,$50.38,Trading,Equity,International Non-US,"15860 Steel, a duplex located in the Bethune Community of Detroit, features two units, each with 2 bedrooms and 1 bathroom, totaling 2,466 square feet of living space on a 3,833-square-foot lot. Situa..."
3742-3746 Whitney St,RealT,$50,$50.14,Trading,Equity,International Non-US,"Presenting 3742-3746 Whitney, a brick duplex with 4 bedrooms and 1 bathroom in each unit. This 2-story property offers a total of 2,400 square feet of living space situated on a 3,615 square-foot lot..."
13045 Wade St,RealT,$56,$56.00,Trading,Equity,International Non-US,"The single-family home at 13045 Wade St, located in the Outer Drive - Hayes suburb of Detroit, Michigan, was built in 1929. The house offers 1,405 square feet of interior living space on a 3,920 squar..."
15800 Tacoma St,RealT,$51,$50.86,Trading,Equity,International Non-US,"Discover comfort and convenience with this single-family residence in the Burbank neighborhood of Detroit. The living space of this property is 1,018 square-feet, situated on an ample 5,227 square-foo..."
10616 McKinney St,RealT,$53,$52.81,Trading,Equity,International Non-US,"The property is a single-family residence located in the Yorkshire Woods neighborhood in the United States. It was constructed in 1941 and features a layout of 3 bedrooms and 1 bathroom, suitable for..."
7519-7521 Wykes St,RealT,$52,$52.38,Trading,Equity,International Non-US,TBA
13885 Bringard Dr,RealT,$50,$50.28,Trading,Equity,International Non-US,"Located in Detroit's peaceful Burbank neighborhood, the 1,169 square-foot single-family residence at 13885 Bringard, with a 2-car garage and 5,097 square-foot lot, offers suburban living near amenitie..."
4628 Lillibridge St,RealT,$50,$50.29,Trading,Equity,International Non-US,TBA
WisdomTree 7-10 Year Treasury Digital Fund,WTSTX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree 7-10 Year Treasury Digital Fund seeks to track the performance, before fees and expenses, of an index designed to measure the performance of obligations of the U.S. Treasury with maturi..."
1630 E State Fair Ave,RealT,$50,$50.06,Trading,Equity,International Non-US,TBA
18662 Blackmoor St,RealT,$51,$50.94,Trading,Equity,International Non-US,The 18662 Blackmoor single-family residence is a beautiful brick house in the Mount Olivet neighborhood. This brick home offers a comfortable living space with 3 bedrooms and 2 bathrooms spread across...
2703-2705 W Grand St,RealT,$52,$52.16,Trading,Equity,International Non-US,"This conveniently located duplex in the heart of Durfee neighborhood, Detroit, offers two fully-equipped units with easy access to shopping, dining, and commuter routes. Built in 1924, this two-story..."
19191 Bradford Ave,RealT,$57,$56.64,Trading,Equity,International Non-US,19191 Bradford is rented again! This represents a rental income increase from $ 750/month to $ 900/month.
2 Holdings Fairview St,RealT,$51,$50.74,Trading,Equity,International Non-US,"Token-holders of 2 Holdings Fairview can anticipate an expected income of 9.48%. Acquired for $240,000, these properties represent an affordable price point of $60,000 per door. A renovation budget of..."
18466 Fielding St Detroit,RealT,$54,$54.38,Trading,Equity,International Non-US,TBA
17500 Evergreen Rd,RealT,$57,$57.08,Trading,Equity,International Non-US,TBA
1907 Ottawa Dr,RealT,$52,$51.87,Trading,Equity,International Non-US,TBA
1 Holdings Monterey St,RealT,$51,$50.92,Trading,Equity,International Non-US,"This investment opportunity features two quadplexes in the Durfee neighborhood, totaling 24 bedrooms, 8 bathrooms, and 9,194 square feet of living space on a 12,632 square foot lot. Near key amenities..."
15777 Ardmore St,RealT,$48,$48.37,Trading,Equity,International Non-US,
4025 Fairview St,RealT,$50,$50.27,Trading,Equity,International Non-US,TBA
12334 Lansdowne St,RealT,$55,$55.15,Trading,Equity,International Non-US,TBA
5933 Moran St,RealT,$51,$50.56,Trading,Equity,International Non-US,"The property is located conveniently near green spaces like Lucky Place Park, providing residents with easy access to nature, and sits near Regeneration Church for access to community events."
9717 Everts St Detroit,RealT,$51,$50.50,Trading,Equity,International Non-US,TBA
10862 Marne St,RealT,$50,$50.29,Trading,Equity,International Non-US,TBA
11441-11443 Flanders St,RealT,$50,$50.35,Trading,Equity,International Non-US,"The property features 1,763 square feet of living space on a 4,443 square-foot lot. Currently tenanted, the duplex ensures stability and benefits from economies of scale, given its proximity to other..."
11401 Winthrop St,RealT,$51,$50.66,Trading,Equity,International Non-US,"This delightful brick bungalow, located at 11401 Winthrop in Detroit's Brooks neighborhood, offers a perfect blend of comfort and functionality. The home features 3 bedrooms and 1 bathroom, spread ove..."
15003 Appoline St,RealT,$51,$50.73,Trading,Equity,International Non-US,"Introducing 15003 Appoline, a single-family brick bungalow with 4 bedrooms and 1 bathroom. Featuring 1,313 square feet of living space on a 3,833 square-foot lot, this property offers comfort and spac..."
WisdomTree Government Money Market Digital Fund,WTGXX,$1,$1,Trading,Lp Fund Interest,Non-Accredited Retail,The WisdomTree Government Money Market Digital Fund is designed to provide investors with a high level of current income consistent with preservation of capital and liquidity and the maintenance of a...
14432 Wilshire Dr,RealT,$57,$57.17,Trading,Equity,International Non-US,TBA
Societe Generale - 5M EUR,SOCGEN5M,-,$1,Trading,Fixed Income,International Accredited,"On April 15th 2021, Societe Generale issued the first structured product* as a Security Token directly registered on the Tezos public blockchain. The securities were fully subscribed by Societe Genera..."
Bond-i - 110M AUD,BONDI,"$340,000",$1000,Trading,Fixed Income,International Accredited,"The World Bank launched bond-i (blockchain operated new debt instrument), the world’s first bond to be created, allocated, transferred and managed through its life cycle using distributed ledger techn..."
3510 Ewald Cir,RealT,$50,$50.09,Trading,Equity,International Non-US,TBA
Bond-i - 50M AUD,BONDI2,"$340,000",$1000,Trading,Fixed Income,International Accredited,"The World Bank (International Bank for Reconstruction and Development, IBRD rated Aaa/AAA) has raised an additional AUD 50 million for its Kangaroo bond due August 2020 - the first bond created, alloc..."
18481 Westphalia St Detroit,RealT,$54,$53.83,Live,Equity,International Non-US,TBA
SiriHub,SiriHubB,$1,$10,Trading,Equity,International Non-US,"SPV 77 Company Limited is the Digital Token Issuer and the Trust Settlor, where Siripat Four Company Limited’s shares have all been transferred into the Trust as assets.
Mr. Korrawit Sawatyanon d..."
19335 Rutherford St,RealT,$51,$51.41,Trading,Equity,International Non-US,"Introducing 19335 Rutherford, a single-family brick residence with 3 bedrooms and 1 bathroom spread across 1,027 square feet of living space on a 3,833 square-foot lot. This well-preserved, cozy home..."
18776 Sunderland Rd Detroit,RealT,$53,$52.88,Trading,Equity,International Non-US,TBA
20200 Lesure St,RealT,$72,$71.50,Trading,Equity,International Non-US,"Lesure is a single-family property in Detroit Michigan, USA. It’s located in the Blackstone Park neighborhood, an area in the middle of the blue-collar revitalization of the Detroit industry. The curr..."
10147 Somerset Ave,RealT,$53,$52.58,Trading,Equity,International Non-US,"This single-family Residence continues RealT's strategy of economy of scale in the east of the city. RealT already holds two properties on this street, 10604 Somerset and 10612 Somerset."
15860 Hartwell St Detroit,RealT,$54,$54.04,Trading,Equity,International Non-US,TBA
19003-19005 Moross Rd,RealT,$51,$50.74,Trading,Equity,International Non-US,TBA
22X Fund,22X,"$5,000",$1,Trading,Lp Fund Interest,US Accredited,"22X Ltd. (“22X”) is issuing tokens (“22X Tokens”) that gives qualified investors exposure to equity in up to 30 global startups, that are all alumni of the 500 Startups Global Seed Accelerator program..."
19962 Waltham St,RealT,$54,$53.62,Trading,Equity,International Non-US,TBA
9415-9417 Ravenswood St,RealT,$51,$50.59,Trading,Equity,International Non-US,TBA
16704 Talford Ave,RealT,$50,$50.44,Trading,Equity,International Non-US,"Located southeast of Cleveland in the Lee Miles neighborhood, 16704 Talford is a colonial-style single-family home that exudes charm with its 4 bedrooms, 1.5 bathrooms, and 1,248 square feet of living..."
15203 Park Grove St,RealT,$53,$53,Trading,Equity,International Non-US,"The single-family home at 15203 Park Grove St, located in the Mapleridge suburb of Detroit, Michigan, was constructed in 1951. This home features 832 square feet of interior space and resides on a 4,3..."
Blockstream ASIC,BASIC) Note 1  (BSIC1,"$115,000",$0,Trading,Asset Derivative,International Accredited,"The Blockstream ASIC Note (""BASIC Note"") provides investors with access to the Bitcoin mining equipment (ASICs) market opportunity. Leveraging Blockstream's long track record, leading market position,..."
Hashrate Asset Group,HAG,"$5,000",$39,Trading,Revenue Sharing,US Accredited,HAG is a security token focusing on Bitcoin mining and designed to pay monthly WBTC distributions. HAG is a distribution-paying digital asset backed by real world assets. Each HAG aims to maintain a p...
116 Monterey St,RealT,$57,$56.90,Trading,Equity,International Non-US,"Located at 116 Monterey St in the Highland Park suburb, this single-family home, constructed in 1909, features a total interior space of 1,506 square feet and is situated on a 5,009 square foot lot. T..."
Bee Digital Growth AG,BEES,"$1,000",$4.73,Trading,Equity,International Non-US,"BEE Digital Growth AG supports medium-sized and large companies in the DACH region in the transformation of marketing and sales, for faster growth."
4526 Lillibridge St,RealT,$51,$50.71,Trading,Equity,International Non-US,TBA
ServiceHunter AG,DQTS,$200,$1.50,Trading,Equity,International Non-US,Quitt is a managed payroll service for households and small businesses.
ALTERNATIVE,ALT2612,"$125,000",$100,Trading,Fixed Income,International Accredited,"ALTERNATIVE primarily acquires risks connected to debt and equity of micro-financing companies, small financial institutions, leasing companies, banks or credit cooperatives granting access to financi..."
3955 Lillibridge St,RealT,$51,$51.14,Trading,Equity,International Non-US,TBA
15634 Liberal St,RealT,"$58,776",$100,Trading,Equity,International Non-US,"This small single-family home is located in the “up-and-coming” area of Regent Park, half a block away from Heilman Community Center and Fisher Magnet Upper and Lower Academy"
17809 Charest St Detroit,RealT,$56,$56,Trading,Equity,International Non-US,TBA
18415 Fielding St,RealT,$50,$50.34,Trading,Equity,International Non-US,"Greetings from 18415 Fielding, a charming two-story brick bungalow single-family residence in the tranquil Holcomb community neighborhood. This property is strategically located just 22 minutes from d..."
18933 Fairport St,RealT,$50,$50.39,Trading,Equity,International Non-US,TBA
25097 Andover Dr,RealT,$61,$60.68,Trading,Equity,International Non-US,"Residential home based in urban Detroit
Address: 25097 Andover Dr, Dearborn Heights, MI 48125"
12236 Sorrento Ave,RealT,$51,$50.70,Trading,Equity,International Non-US,"Introducing 12236 Sorrento, located in the Pride Area Community, a neighborhood that offers residents a dense suburban feel with plenty of parks. Among the excellent features of 12236 Sorrento is its..."
EHC Kloten Sport AG,EHCK,$89,$89,Trading,Other,International Non-US,"The traditional Swiss club, founded in 1934, is deeply rooted in the economically strong airport region and has a long history in Swiss sport. Dynamic, close to the people and likeable!
The club has..."
10764 Balfour Rd,RealT,$52,$52.41,Trading,Equity,International Non-US,TBA
Scale AI,USAI,$1,$12.5,Trading,Lp Fund Interest,International Non-US,"Scale AI is the platform for artificial intelligence data labeling, providing high quality training data for leading machine learning teams."
2931 Dickerson Ave,RealT,$49,$48.74,Trading,Equity,International Non-US,"Introducing 2931 Dickerson, a colonial two-story brick single-family residence located in the Riverbend neighborhood. This home includes 3 spacious bedrooms and 1 bathroom. Dickerson offers a welcomin..."
18608-18612 Moross Rd,RealT,$50,$49.56,Trading,Equity,International Non-US,TBA
9166 Devonshire Rd,RealT,$58,$57.89,Trading,Equity,International Non-US,TBA
14916 Hubbell St,RealT,$50,$50.32,Trading,Equity,International Non-US,"Situated in a green, vibrant community, 14916 Hubbell is a beacon of comfort and style. Surrounded by restaurants, churches, and parks, this residence offers a rich blend of community, spirituality, a..."
1991 Ewald Cir,RealT,$50,$50.47,Closed,Equity,International Non-US,"1991 Ewald is conveniently located in the Oakman Blvd Community, where it benefits from its proximity to the Detroit Public Library, schools and daycares, the Detroit Fire Department, churches, grocer..."
12130 Manor St,RealT,$52,$51.79,Trading,Equity,International Non-US,"The property spans 1,471 square feet on a generous 4,704-square-foot lot and has undergone partial renovations. It features 4 bedrooms and 1.5 bathrooms, creating an inviting and practical living envi..."
1 Holdings Tappan St,RealT,$50,$50.26,Trading,TBA,International Non-US,"1 Holdings Tappan comprises six single-family homes, each featuring four bedrooms, exemplifying a commitment to comfortable living. Strategically acquired alongside the Arcola and Palmetto holdings, t..."
9165 Kensington Ave,RealT,$57,$56.85,Trading,Equity,International Non-US,TBA
80 Colser Dr,RealT,$50,$50.43,Trading,Equity,International Non-US,TBA
2626-2638 Wreford St,RealT,$52,$51.79,Trading,Equity,International Non-US,TBA
Hong Kong Digital Green Bond - 2B HKD Tranche,HKGBGR2602C,-,$,Trading,Fixed Income,International Accredited,The Government of the Hong Kong Special Administrative Region of the People’s Republic of China (the HKSAR Government) on 2/7/24 announced the successful offering of around HK$6 billion worth of digit...
Okasan Securities Group 100th Anniversary ST Bond,OKASAN2B,"$6,700",$,Trading,Fixed Income,International Non-US,"To celebrate their 100th anniversary, Japan’s Okasan Securities issued a digital bond of up to Yen 2 billion to retail investors, calling it the Okasan Securities Group No.1 Unsecured Security Token B..."
9585 Abington Ave,RealT,$50,$49.74,Trading,Equity,TBA,TBA
11758 Christy St,RealT,$59,$58.65,Trading,Equity,International Non-US,"The single-family home at 11758 Christy St, located in the Gratiot-Findlay neighborhood of Detroit, Michigan, was constructed in 1942. It features 1,000 square feet of living space set on a 4,356 squa..."
10756 Balfour Rd,RealT,$52,$51.97,Trading,Equity,International Non-US,TBA
17157 Rowe St,RealT,$50,$50.23,Trading,Equity,International Non-US,"17127 Rowe, located in the Von Steuben neighborhood, is a single-family residence boasting an 1,195 square-foot living space on a 4,225 square-foot lot. The property includes 3 bedrooms, 1 bathroom, a..."
19333 Moenart St Detroit,RealT,$55,$55.25,Trading,Equity,International Non-US,TBA
14117 Manning St,RealT,$50,$50.26,Trading,Equity,TBA,TBA
Pension Dynamics AG,PDS,"$5,000",$1.26,Trading,Equity,International Non-US,"With PensionDynamics, the latest pension fund portal, we are raising the bar for pension fund digitalization. In light of the digital transformation of business processes, PensionDynamics is a lucrati..."
237 Louisa Ave,RealT,$51,$50.58,Trading,Equity,International Non-US,"Explore Ferguson, a lively neighborhood with 11 parks spread out over nearly 110 acres. Situated just five minutes from Lambert International Airport and surrounded by major interstate highways, the F..."
10084 Grayton St,RealT,$53,$52.94,Trading,Equity,International Non-US,"Located just two blocks from the I-94 freeway, 10084 Grayton ensures a hassle-free commute, free from the bustle of traffic noise. As part of the vibrant Yorkshire Woods neighborhood, this single-fami..."
14872 Ilene St,RealT,$51,$50.91,Trading,Equity,International Non-US,"Presenting 14872 Ilene, a cozy single-family brick residence with 3 bedrooms and 1 bathroom! This property enjoys 1,280 square feet of living space nestled on a 3,528 square-foot lot in the Bethune Co..."
15350 Greydale St Detroit,RealT,$54,$54.42,Trading,Equity,International Non-US,TBA
16644 Rossini Dr,RealT,$50,$50.40,Trading,Equity,International Non-US,TBA
Parknsleep AG,PNS,$199,$2.52,Trading,Equity,International Non-US,"The young Swiss company is conquering the European market with an innovative brokerage platform for mobile home parking spaces.
With the ""Parking App for Campers"" travelers in motorhomes and camperva..."
BoCom - 9.314B CNY,BOCOM9B,-,$1,Trading,Fixed Income,International Accredited,"State-owned Bank of Communications (BoCom) was involved in an RMB 9.314 billion ($1.352 billion) residential mortgage-backed security transaction. It used BoCom’s proprietary Jucai Chain, and in this..."
7501 Stockton St,RealT,$51,$50.51,Trading,Equity,International Non-US,TBA
8809 Beckman Ave,RealT,$52,$51.74,Trading,Equity,International Non-US,TBA
10099 Greensboro St,RealT,$50,$50.10,Trading,Equity,International Non-US,TBA
1 Holdings Kitchener St,RealT,$51,$50.93,Trading,Equity,International Non-US,TBA
20552 Waltham St,RealT,$53,$53.45,Trading,Equity,International Non-US,TBA
1 Holdings Kinafremoha St,RealT,$51,$50.88,Trading,Equity,International Non-US,TBA
19750 Marx St,RealT,$50,$50.31,Trading,Equity,International Non-US,TBA
13114 Glenfield Ave Detroit,RealT,$60,$59.94,Trading,Equity,International Non-US,TBA
4456 Fairview St,RealT,$51,$51.13,Trading,Equity,International Non-US,TBA
11310 Abington Ave,RealT,$47,$47.17,Trading,Equity,TBA,TBA
5837 Moran St,RealT,$52,$51.55,Trading,Equity,International Non-US,TBA
4340 East 71,RealT,$54,$54.37,Trading,Equity,International Non-US,TBA
10610 Balfour Rd,RealT,$50,$49.81,Trading,Equity,International Non-US,TBA
Bank of China - 20B CNY,BOC20B,$0,$1,Trading,Fixed Income,International Accredited,"On December 3, Bank of China completed the issuance and pricing of the first phase of 20 billion yuan of special financial bonds for small and micro enterprise loans in 2019. The raised funds were spe..."
Standard AI,USTN,$4,$42.9,Trading,Lp Fund Interest,International Non-US,"Standard AI is an artificial intelligence platform that allows buyers to grab what they want without having to go to a cashier. It empowers consumers to shop and pay without waiting in line, scanning..."
738-742 E 87th Pl,RealT,$49,$49.05,Trading,Equity,International Non-US,TBA
11217 Beaconsfield St,RealT,$48,$48.01,Trading,Equity,TBA,TBA
StoreDot,UDOT,$2,$11.50,Trading,Lp Fund Interest,International Non-US,StoreDot is an Israeli startup that develops lithium-ion batteries that can be fully charged in 5 minutes. The company has 57 granted and 45 pending patents and on its way to start mass production. St...
14481 Hazelridge St,RealT,$51,$50.76,Trading,Equity,International Non-US,TBA
14884 Ward Ave,RealT,$59,$58.80,Trading,Equity,International Non-US,"The single-family home located at 14884 Ward Ave in the Bethune Community of Detroit, Michigan, was built in 1929. It has an interior space of approximately 1,300 square feet and is on a 4,356 square..."
4421 Lillibridge St,RealT,$51,$51.14,Trading,Equity,International Non-US,TBA
13041 Hayes St,RealT,$52,$51.97,Trading,Equity,International Non-US,"The multi-family property located at 13041 Hayes St in the Burbank suburb of Detroit, Michigan, was constructed in 1966. It consists of 7 units, each offering 1 bedroom and 1 bathroom. Specific detail..."
15778 Manor St Detroit,RealT,$62,$62.35,Trading,Equity,International Non-US,TBA
10410 Cadieux Rd,RealT,$51,$50.91,Trading,Equity,International Non-US,"RealT has strategically expanded its portfolio with the acquisition of 10410 Cadieux, a multi-family property built in 1955, contributing to a cluster of 6 residences and 121 units within the same blo..."
Bank of Thailand - 50B THB,BOT50B,$3,$1,Trading,Fixed Income,International Non-US,"The Bank of Thailand announced that it successfully sold 50 billion baht ($1.6 billion) in government savings bonds that leverage blockchain technology. There were two bonds, both targeted at retail i..."
618 E 79th St,RealT,$51,$50.83,Trading,Equity,International Non-US,TBA
Alan Frei Company,AFS,$1,$1.42,Trading,Equity,International Non-US,"At the Alan Frei Company (AFC), they're pioneering a next-generation, content-driven Direct-to-Consumer approach. <br><br>
That means: <br>
The Alan Frei Company (AFC) creates educational, enter..."
18286 Oakfield Ave,RealT,$50,$49.97,Trading,Equity,International Non-US,TBA
